,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
with chd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.058823529411764705,0.046511627906976744,0.06818181818181818,0.08695652173913043,0.0547945205479452,0.075,0.10526315789473684,0.11538461538461539,0.11267605633802817,0.11627906976744186,0.10810810810810811,0.07462686567164178,0.23076923076923078,0.16666666666666666,0.2641509433962264,0.25757575757575757,0.3387096774193548,0.2714285714285714,0.14285714285714285,0.25925925925925924,0.16326530612244897,0.3018867924528302,0.20689655172413793,0.3,0.2727272727272727,0.3137254901960784,0.2558139534883721,0.32608695652173914,0.2926829268292683,0.25,0.38095238095238093,0.35714285714285715,0.47058823529411764,0.5,0.3333333333333333
people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,17.0,43.0,44.0,69.0,73.0,80.0,76.0,78.0,71.0,86.0,74.0,67.0,52.0,84.0,53.0,66.0,62.0,70.0,56.0,54.0,49.0,53.0,58.0,50.0,44.0,51.0,43.0,46.0,41.0,36.0,21.0,14.0,17.0,12.0,3.0
